,guid,sentence,opinion_type,target,opinin_Term,polarity,aspect_p,pos_tag,emd_con1,emd_con2,emd_con3,emd_con4,OP_Term_Tag,Target_Tag
10,train-10,"['WORST', 'PLACE', 'ON', 'SMITH', 'STREET', 'IN', 'BROOKLYN']",explicit,PLACE,WORST,negative,RESTAURANT GENERAL negative,"['INTJ', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'PROPN']","['INTJ', 'O', 'O', 'O', 'O', 'O', 'O']","['INTJ', 'O', 'O', 'O', 'PROPN', 'O', 'O']","['INTJ', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'O']","['INTJ', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'PROPN']","['B-ET', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-EO', 'O', 'O', 'O', 'O', 'O']"
11,train-11,"['The', 'staff', 'has', 'been', 'nice', ',', 'but', 'they', 'seemed', 'really', 'stressed', 'and', 'the', 'unisex', 'bathroom', 'needs', 'to', 'be', 'cleaned', 'more', 'often', '.']",explicit,staff,nice,positive,SERVICE GENERAL positive,"['DET', 'NOUN', 'AUX', 'AUX', 'ADJ', 'PUNCT', 'CCONJ', 'PRON', 'VERB', 'ADV', 'ADJ', 'CCONJ', 'DET', 'NOUN', 'NOUN', 'VERB', 'PART', 'AUX', 'VERB', 'ADV', 'ADV', 'PUNCT']","['O', 'O', 'O', 'AUX', 'ADJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'NOUN', 'AUX', 'AUX', 'ADJ', 'O', 'CCONJ', 'O', 'VERB', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'NOUN', 'AUX', 'AUX', 'ADJ', 'O', 'CCONJ', 'PRON', 'VERB', 'O', 'ADJ', 'CCONJ', 'O', 'O', 'O', 'VERB', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'NOUN', 'AUX', 'AUX', 'ADJ', 'O', 'CCONJ', 'PRON', 'VERB', 'ADV', 'ADJ', 'CCONJ', 'O', 'O', 'NOUN', 'VERB', 'O', 'O', 'VERB', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-ET', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-EO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
12,train-12,"['The', 'staff', 'has', 'been', 'nice', ',', 'but', 'they', 'seemed', 'really', 'stressed', 'and', 'the', 'unisex', 'bathroom', 'needs', 'to', 'be', 'cleaned', 'more', 'often', '.']",explicit,staff,stressed,negative,SERVICE GENERAL negative,"['DET', 'NOUN', 'AUX', 'AUX', 'ADJ', 'PUNCT', 'CCONJ', 'PRON', 'VERB', 'ADV', 'ADJ', 'CCONJ', 'DET', 'NOUN', 'NOUN', 'VERB', 'PART', 'AUX', 'VERB', 'ADV', 'ADV', 'PUNCT']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'VERB', 'O', 'ADJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'PRON', 'VERB', 'O', 'ADJ', 'CCONJ', 'O', 'O', 'O', 'VERB', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'PRON', 'VERB', 'O', 'ADJ', 'CCONJ', 'O', 'O', 'NOUN', 'VERB', 'O', 'O', 'VERB', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'PRON', 'VERB', 'O', 'ADJ', 'CCONJ', 'O', 'NOUN', 'NOUN', 'VERB', 'PART', 'AUX', 'VERB', 'O', 'ADV', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ET', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-EO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
13,train-13,"['The', 'staff', 'has', 'been', 'nice', ',', 'but', 'they', 'seemed', 'really', 'stressed', 'and', 'the', 'unisex', 'bathroom', 'needs', 'to', 'be', 'cleaned', 'more', 'often', '.']",explicit,unisex bathroom,needs to be cleaned,negative,AMBIENCE GENERAL negative,"['DET', 'NOUN', 'AUX', 'AUX', 'ADJ', 'PUNCT', 'CCONJ', 'PRON', 'VERB', 'ADV', 'ADJ', 'CCONJ', 'DET', 'NOUN', 'NOUN', 'VERB', 'PART', 'AUX', 'VERB', 'ADV', 'ADV', 'PUNCT']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'VERB', 'O', 'O', 'O', 'O', 'O', 'O', 'VERB', 'PART', 'AUX', 'VERB', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'PRON', 'VERB', 'O', 'ADJ', 'CCONJ', 'O', 'O', 'O', 'VERB', 'PART', 'AUX', 'VERB', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'PRON', 'VERB', 'ADV', 'ADJ', 'CCONJ', 'O', 'O', 'O', 'VERB', 'PART', 'AUX', 'VERB', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'PRON', 'VERB', 'ADV', 'ADJ', 'CCONJ', 'O', 'O', 'O', 'VERB', 'PART', 'AUX', 'VERB', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ET', 'I-ET', 'I-ET', 'I-ET', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EO', 'I-EO', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14,train-14,"['I', 'absolutely', 'love', 'this', 'place', '!', '!', '!']",explicit,place,love,positive,RESTAURANT GENERAL positive,"['PRON', 'ADV', 'VERB', 'DET', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT']","['O', 'O', 'VERB', 'O', 'O', 'O', 'O', 'O']","['PRON', 'ADV', 'VERB', 'O', 'NOUN', 'O', 'O', 'O']","['PRON', 'ADV', 'VERB', 'O', 'NOUN', 'O', 'O', 'O']","['PRON', 'ADV', 'VERB', 'O', 'NOUN', 'O', 'O', 'O']","['O', 'O', 'B-ET', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-EO', 'O', 'O', 'O']"
15,train-15,"['Never', 'got', 'an', 'explanation', 'as', 'to', 'what', 'was', 'going', 'on', '.']",implicit,,Never got an explanation,negative,SERVICE GENERAL negative,"['ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'ADP', 'PRON', 'AUX', 'VERB', 'ADP', 'PUNCT']","['ADV', 'VERB', 'O', 'NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['ADV', 'VERB', 'O', 'NOUN', 'ADP', 'O', 'O', 'O', 'O', 'O', 'O']","['ADV', 'VERB', 'O', 'NOUN', 'ADP', 'ADP', 'O', 'O', 'O', 'O', 'O']","['ADV', 'VERB', 'O', 'NOUN', 'ADP', 'ADP', 'O', 'O', 'VERB', 'O', 'O']","['B-IT', 'I-IT', 'I-IT', 'I-IT', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-NULL', 'I-NULL', 'I-NULL', 'I-NULL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
16,train-16,"['Everyone', 'seemed', 'generally', 'happy', 'with', 'their', 'food', ',', 'except', 'my', 'brother', 'who', 'had', 'the', 'grilled', 'Mahi', 'Mahi', ',', 'seemingly', 'drenched', 'in', 'Grapfruit', 'Juice', '!']",explicit,food,happy,positive,FOOD QUALITY positive,"['PRON', 'VERB', 'ADV', 'ADJ', 'ADP', 'PRON', 'NOUN', 'PUNCT', 'SCONJ', 'PRON', 'NOUN', 'PRON', 'VERB', 'DET', 'VERB', 'PROPN', 'PROPN', 'PUNCT', 'ADV', 'VERB', 'ADP', 'PROPN', 'PROPN', 'PUNCT']","['O', 'VERB', 'O', 'ADJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['PRON', 'VERB', 'O', 'ADJ', 'O', 'O', 'O', 'O', 'SCONJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'VERB', 'O', 'O', 'O', 'O']","['PRON', 'VERB', 'O', 'ADJ', 'O', 'O', 'O', 'O', 'SCONJ', 'O', 'NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ADV', 'VERB', 'ADP', 'O', 'O', 'O']","['PRON', 'VERB', 'O', 'ADJ', 'O', 'O', 'O', 'O', 'SCONJ', 'PRON', 'NOUN', 'O', 'VERB', 'O', 'O', 'O', 'O', 'O', 'ADV', 'VERB', 'ADP', 'O', 'PROPN', 'O']","['O', 'O', 'O', 'B-ET', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-EO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
17,train-17,"['Everyone', 'seemed', 'generally', 'happy', 'with', 'their', 'food', ',', 'except', 'my', 'brother', 'who', 'had', 'the', 'grilled', 'Mahi', 'Mahi', ',', 'seemingly', 'drenched', 'in', 'Grapfruit', 'Juice', '!']",explicit,grilled Mahi Mahi,drenched,negative,FOOD QUALITY negative,"['PRON', 'VERB', 'ADV', 'ADJ', 'ADP', 'PRON', 'NOUN', 'PUNCT', 'SCONJ', 'PRON', 'NOUN', 'PRON', 'VERB', 'DET', 'VERB', 'PROPN', 'PROPN', 'PUNCT', 'ADV', 'VERB', 'ADP', 'PROPN', 'PROPN', 'PUNCT']","['O', 'VERB', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'VERB', 'O', 'O', 'O', 'O']","['PRON', 'VERB', 'O', 'ADJ', 'O', 'O', 'O', 'O', 'SCONJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'VERB', 'O', 'O', 'O', 'O']","['PRON', 'VERB', 'ADV', 'ADJ', 'ADP', 'O', 'O', 'O', 'SCONJ', 'O', 'NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'VERB', 'O', 'O', 'O', 'O']","['PRON', 'VERB', 'ADV', 'ADJ', 'ADP', 'O', 'NOUN', 'O', 'SCONJ', 'PRON', 'NOUN', 'O', 'VERB', 'O', 'O', 'O', 'O', 'O', 'O', 'VERB', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ET', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EO', 'I-EO', 'I-EO', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18,train-18,"['Everyone', 'seemed', 'generally', 'happy', 'with', 'their', 'food', ',', 'except', 'my', 'brother', 'who', 'had', 'the', 'grilled', 'Mahi', 'Mahi', ',', 'seemingly', 'drenched', 'in', 'Grapfruit', 'Juice', '!']",explicit,grilled Mahi Mahi,drenched,negative,FOOD STYLE_OPTIONS negative,"['PRON', 'VERB', 'ADV', 'ADJ', 'ADP', 'PRON', 'NOUN', 'PUNCT', 'SCONJ', 'PRON', 'NOUN', 'PRON', 'VERB', 'DET', 'VERB', 'PROPN', 'PROPN', 'PUNCT', 'ADV', 'VERB', 'ADP', 'PROPN', 'PROPN', 'PUNCT']","['O', 'VERB', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'VERB', 'O', 'O', 'O', 'O']","['PRON', 'VERB', 'O', 'ADJ', 'O', 'O', 'O', 'O', 'SCONJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'VERB', 'O', 'O', 'O', 'O']","['PRON', 'VERB', 'ADV', 'ADJ', 'ADP', 'O', 'O', 'O', 'SCONJ', 'O', 'NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'VERB', 'O', 'O', 'O', 'O']","['PRON', 'VERB', 'ADV', 'ADJ', 'ADP', 'O', 'NOUN', 'O', 'SCONJ', 'PRON', 'NOUN', 'O', 'VERB', 'O', 'O', 'O', 'O', 'O', 'O', 'VERB', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ET', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EO', 'I-EO', 'I-EO', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
19,train-19,"['Excellent', 'atmosphere', ',', 'delicious', 'dishes', 'good', 'and', 'friendly', 'service', '.']",explicit,atmosphere,Excellent,positive,AMBIENCE GENERAL positive,"['ADJ', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT']","['ADJ', 'NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['ADJ', 'NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'NOUN', 'O']","['ADJ', 'NOUN', 'O', 'O', 'O', 'ADJ', 'O', 'O', 'NOUN', 'O']","['ADJ', 'NOUN', 'O', 'O', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'O']","['B-ET', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-EO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20,train-20,"['Excellent', 'atmosphere', ',', 'delicious', 'dishes', 'good', 'and', 'friendly', 'service', '.']",explicit,dishes,delicious,positive,FOOD QUALITY positive,"['ADJ', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT']","['O', 'O', 'O', 'ADJ', 'NOUN', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'ADJ', 'NOUN', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'ADJ', 'NOUN', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'ADJ', 'NOUN', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B-ET', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-EO', 'O', 'O', 'O', 'O', 'O']"
