,sentence,target,target_type,category,polarity,opinin_Term
20,DO not try unless you 're just going there to hang out like the rest of the hipsters who apparently have no sense of taste .,NULL,implicit,RESTAURANT MISCELLANEOUS,negative,Do not try
21,Very cozy and warm inside ...,NULL,implicit,AMBIENCE GENERAL,positive,cozy
22,Very cozy and warm inside ...,NULL,implicit,AMBIENCE GENERAL,positive,warm
23,Slightly above average wines start at $ 70+ with only one selection listed at $ 30+ .,wines,explicit,DRINKS QUALITY,negative,above average
24,Slightly above average wines start at $ 70+ with only one selection listed at $ 30+ .,wines,explicit,DRINKS PRICES,negative,above average
25,"Kind , attentive wait staff .",wait staff,explicit,SERVICE GENERAL,positive,Kind
26,"Kind , attentive wait staff .",wait staff,explicit,SERVICE GENERAL,positive,attentive
27,All of the pizzas are terrific and the price is even better !,pizzas,explicit,FOOD QUALITY,positive,terrific
28,All of the pizzas are terrific and the price is even better !,NULL,implicit,RESTAURANT PRICES,positive,even better
29,It 's somewhere you can eat and be happy .,NULL,implicit,RESTAURANT GENERAL,positive,happy
30,The staff was the friendliest that have seen in New York .,staff,explicit,SERVICE GENERAL,positive,friendliest
31,Drinks way over priced .,Drinks,explicit,DRINKS PRICES,negative,over priced
32,The sushi was awful !,sushi,explicit,FOOD QUALITY,negative,awful
33,"The sandwiches are dry , tasteless and way overpriced .",sandwiches,explicit,FOOD QUALITY,negative,dry
34,"The sandwiches are dry , tasteless and way overpriced .",sandwiches,explicit,FOOD QUALITY,negative,tasteless
35,"The sandwiches are dry , tasteless and way overpriced .",sandwiches,explicit,FOOD PRICES,negative,overpriced
36,It is very overpriced and not very tasty .,NULL,implicit,FOOD QUALITY,negative,not very tasty
37,It is very overpriced and not very tasty .,NULL,implicit,FOOD PRICES,negative,overpriced
38,Worth the trip from Manhattan .,NULL,implicit,RESTAURANT GENERAL,positive,Worth
39,"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",somosas,explicit,FOOD QUALITY,positive,like
40,"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",chai,explicit,FOOD QUALITY,positive,like
41,"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",chole,explicit,FOOD QUALITY,positive,like
42,"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",dhosas,explicit,FOOD QUALITY,negative,dissapointing
43,"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",dhal,explicit,FOOD QUALITY,negative,dissapointing
44,We wo n't go to this place again for a good meal .,meal,explicit,FOOD QUALITY,negative,good
45,Taxan delicious !,Taxan,explicit,FOOD QUALITY,positive,delicious
46,MMmmm ... it was delicious .,NULL,implicit,FOOD QUALITY,positive,delicious
47,The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed .,hanger steak,explicit,FOOD QUALITY,negative,rubber
48,The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed .,tuna,explicit,FOOD QUALITY,negative,flavorless
49,I have been to Casimir over 5 times and I have always had a great time there .,Casimir,explicit,RESTAURANT GENERAL,positive,great time
50,This place is great .,place,explicit,RESTAURANT GENERAL,positive,great
51,The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,meal,explicit,FOOD QUALITY,positive,enjoy
52,The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,meal,explicit,FOOD QUALITY,positive,great
53,The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,restaurant,explicit,AMBIENCE GENERAL,negative,noisy
54,"Their bagels are fine , but they are a little overcooked , and not really a 'special ' bagel experience .",bagels,explicit,FOOD QUALITY,negative,fine
55,"Their bagels are fine , but they are a little overcooked , and not really a 'special ' bagel experience .",bagels,explicit,FOOD QUALITY,negative,overcooked
56,"Have eaten at Ginger House several times , and it 's always good .",Ginger House,explicit,RESTAURANT GENERAL,positive,good
57,"I like Cafe Noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !",people,explicit,SERVICE GENERAL,negative,evil
58,"I like Cafe Noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !",people,explicit,SERVICE GENERAL,negative,incompetent
59,"I like Cafe Noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !",Cafe Noir,explicit,RESTAURANT GENERAL,positive,like
60,"A cool bar with great food , and tons of excellent beer .",bar,explicit,AMBIENCE GENERAL,positive,cool
61,"A cool bar with great food , and tons of excellent beer .",food,explicit,FOOD QUALITY,positive,great
62,"A cool bar with great food , and tons of excellent beer .",beer,explicit,DRINKS QUALITY,positive,excellent
63,"A cool bar with great food , and tons of excellent beer .",beer,explicit,DRINKS STYLE_OPTIONS,positive,excellent
64,"Do n't dine at Tamarind for the vegetarian dishes , they are simply not up to par with the non-veg selections .",vegetarian dishes,explicit,FOOD QUALITY,negative,not up to par
65,Not the typical NYC gimmick theme restaurant .,restaurant,explicit,AMBIENCE GENERAL,positive,Not the typical
66,Ravioli was good ... but I have to say that I found everything a bit overpriced .,Ravioli,explicit,FOOD QUALITY,positive,good
67,Ravioli was good ... but I have to say that I found everything a bit overpriced .,NULL,implicit,FOOD PRICES,negative,overpriced
68,"Other guests enjoyed pizza , santa fe chopped salad and fish and chips .",pizza,explicit,FOOD QUALITY,positive,enjoyed
69,"Other guests enjoyed pizza , santa fe chopped salad and fish and chips .",santa fe chopped salad,explicit,FOOD QUALITY,positive,enjoyed
70,"Other guests enjoyed pizza , santa fe chopped salad and fish and chips .",fish and chips,explicit,FOOD QUALITY,positive,enjoyed
71,"They have it all -- great price , food , and service .",NULL,implicit,RESTAURANT PRICES,positive,great
72,"They have it all -- great price , food , and service .",food,explicit,FOOD QUALITY,positive,great
73,"They have it all -- great price , food , and service .",service,explicit,SERVICE GENERAL,positive,great
74,"Most of the servers are very attentive , friendly and quite attractive .",servers,explicit,SERVICE GENERAL,positive,attentive
75,"Most of the servers are very attentive , friendly and quite attractive .",servers,explicit,SERVICE GENERAL,positive,friendly
76,"Most of the servers are very attentive , friendly and quite attractive .",servers,explicit,SERVICE GENERAL,positive,attractive
77,"Admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm .",open kitchen,explicit,AMBIENCE GENERAL,positive,charm
78,"Admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm .",restaurant,explicit,AMBIENCE GENERAL,negative,warm
79,So rushing us out was absolutely unnecessary !,NULL,implicit,SERVICE GENERAL,negative,rushing us out
80,Try green curry with vegetables .,green curry with vegetables,explicit,FOOD QUALITY,positive,Try
81,The service is good and the resturant is clean .,service,explicit,SERVICE GENERAL,positive,good
82,The service is good and the resturant is clean .,resturant,explicit,AMBIENCE GENERAL,positive,clean
83,What a great place !,place,explicit,RESTAURANT GENERAL,positive,great
84,We were very pleasantly surprised .,NULL,implicit,RESTAURANT GENERAL,positive,pleasantly surprised
85,"Great friendly service , Fast seating , Fast Delivery , Excellent sushi .",service,explicit,SERVICE GENERAL,positive,Great friendly
86,"Great friendly service , Fast seating , Fast Delivery , Excellent sushi .",seating,explicit,SERVICE GENERAL,positive,Fast
87,"Great friendly service , Fast seating , Fast Delivery , Excellent sushi .",Delivery,explicit,SERVICE GENERAL,positive,Fast
88,"Great friendly service , Fast seating , Fast Delivery , Excellent sushi .",sushi,explicit,FOOD QUALITY,positive,Excellent
89,"The service is excellent , the decor is great , and the food is delicious and comes in large portions .",service,explicit,SERVICE GENERAL,positive,excellent
90,"The service is excellent , the decor is great , and the food is delicious and comes in large portions .",decor,explicit,AMBIENCE GENERAL,positive,great
91,"The service is excellent , the decor is great , and the food is delicious and comes in large portions .",food,explicit,FOOD QUALITY,positive,delicious
92,"The service is excellent , the decor is great , and the food is delicious and comes in large portions .",portions,explicit,FOOD STYLE_OPTIONS,positive,large
93,"The restaurant has a Family feel , not least with regard to the portions which are enormous ; the veal alone could have single-handedly solved third world famine .",restaurant,explicit,AMBIENCE GENERAL,positive,Family feel
94,"The restaurant has a Family feel , not least with regard to the portions which are enormous ; the veal alone could have single-handedly solved third world famine .",portions,explicit,FOOD STYLE_OPTIONS,positive,enormous
95,"The restaurant has a Family feel , not least with regard to the portions which are enormous ; the veal alone could have single-handedly solved third world famine .",veal,explicit,FOOD STYLE_OPTIONS,positive,have single-handedly solved third world famine
96,highly recommended .,NULL,implicit,RESTAURANT GENERAL,positive,highly recommended
97,"The food was average to above-average ; the French Onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",food,explicit,FOOD QUALITY,positive,average to above-average
98,"The food was average to above-average ; the French Onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",French Onion soup,explicit,FOOD QUALITY,negative,not overly impressive
99,"The food was average to above-average ; the French Onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",desserts,explicit,FOOD QUALITY,negative,not brilliant
100,How do you rate home ?,NULL,implicit,RESTAURANT MISCELLANEOUS,positive,home
101,I 'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much ... and we 're repeat customers .,Mizu,explicit,RESTAURANT GENERAL,positive,enjoy
102,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .,crabmeat lasagna,explicit,FOOD QUALITY,positive,out of this world
103,Truly the mark of an attentive waiter .,waiter,explicit,SERVICE GENERAL,positive,attentive
104,"The first time the sushi was outstanding , the second time it was a little bland .",sushi,explicit,FOOD QUALITY,positive,outstanding
105,"The first time the sushi was outstanding , the second time it was a little bland .",sushi,explicit,FOOD QUALITY,negative,bland
106,The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty .,restaurant,explicit,LOCATION GENERAL,positive,beautiful
107,The food is excellent !,food,explicit,FOOD QUALITY,positive,excellent
108,Not impressed with the food .,food,explicit,FOOD QUALITY,negative,Not impressed
109,"I ca n't wait for summer , when they serve outside on their gigantic patio .",patio,explicit,AMBIENCE GENERAL,positive,gigantic
110,I definitely wouldn 't go back .,NULL,implicit,RESTAURANT GENERAL,negative,wouldn 't go back
111,I have been going there since it opened and I ca n't get enough .,NULL,implicit,RESTAURANT GENERAL,positive,ca n't get enough
112,"This place , which is only a few months old , is perhaps Queens ' biggest secret !",place,explicit,RESTAURANT GENERAL,positive,Queens ' biggest secret
113,Definately check it out ! ! !,NULL,implicit,RESTAURANT GENERAL,positive,check it out
114,but the service was a bit slow .,service,explicit,SERVICE GENERAL,negative,slow
115,The food was authentic .,food,explicit,FOOD QUALITY,positive,authentic
116,"The Steak Tartare is a great bet , they fix it for you at the table .",Steak Tartare,explicit,FOOD STYLE_OPTIONS,positive,great
117,"stick with the chicken , beef , and lamb dishes .",chicken,explicit,FOOD QUALITY,positive,stick
118,"stick with the chicken , beef , and lamb dishes .",beef,explicit,FOOD QUALITY,positive,stick
119,"stick with the chicken , beef , and lamb dishes .",lamb dishes,explicit,FOOD QUALITY,positive,stick
120,This little place definitely exceeded my expectations and you sure get a lot of food for your money .,food,explicit,FOOD STYLE_OPTIONS,positive,lot
121,This little place definitely exceeded my expectations and you sure get a lot of food for your money .,place,explicit,RESTAURANT GENERAL,positive,exceeded my expectations
122,This little place definitely exceeded my expectations and you sure get a lot of food for your money .,food,explicit,FOOD PRICES,positive,lot
123,"Great vibe , lots of people .",vibe,explicit,AMBIENCE GENERAL,positive,Great
124,The wine list is also really nice .,wine list,explicit,DRINKS STYLE_OPTIONS,positive,nice
125,The exotic food is beautifully presented and is a delight in delicious combinations .,exotic food,explicit,FOOD STYLE_OPTIONS,positive,beautifully presented
126,The exotic food is beautifully presented and is a delight in delicious combinations .,exotic food,explicit,FOOD QUALITY,positive,delight
127,The cream cheeses are out of this world and I love that coffee ! !,cream cheeses,explicit,FOOD QUALITY,positive,out of this world
128,The cream cheeses are out of this world and I love that coffee ! !,coffee,explicit,DRINKS QUALITY,positive,love
129,The hostess and the waitress were incredibly rude and did everything they could to rush us out .,hostess,explicit,SERVICE GENERAL,negative,rude
130,The hostess and the waitress were incredibly rude and did everything they could to rush us out .,waitress,explicit,SERVICE GENERAL,negative,rude
131,"I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .",jelly fish,explicit,FOOD QUALITY,positive,recommend
132,"I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .",drunken chicken,explicit,FOOD QUALITY,positive,recommend
133,"I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .",soupy dumplings,explicit,FOOD QUALITY,positive,recommend
134,"I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .",stir fry blue crab,explicit,FOOD QUALITY,positive,recommend
135,We even had a visit from the Manager who wanted to make sure we were enjoying ourselves .,Manager,explicit,SERVICE GENERAL,positive,enjoying
136,honestly the worst sushi my husband and i had in our entire lives .,sushi,explicit,FOOD QUALITY,negative,worst
137,"The atmosphere is n't the greatest , but I suppose that 's how they keep the prices down .",atmosphere,explicit,AMBIENCE GENERAL,negative,is n't the greatest
138,"The atmosphere is n't the greatest , but I suppose that 's how they keep the prices down .",NULL,implicit,RESTAURANT PRICES,positive,keep the prices down
139,Good for dates or with friends .,NULL,implicit,RESTAURANT MISCELLANEOUS,positive,Good
140,"Be sure to try the seasonal , and always delicious , specials .",specials,explicit,FOOD QUALITY,positive,try
141,"Be sure to try the seasonal , and always delicious , specials .",specials,explicit,FOOD QUALITY,positive,seasonal
142,"Be sure to try the seasonal , and always delicious , specials .",specials,explicit,FOOD QUALITY,positive,delicious
143,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great .",food,explicit,FOOD QUALITY,neutral,decent
144,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great .",food,explicit,FOOD QUALITY,negative,not great
145,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great .",lemon salad,explicit,FOOD QUALITY,negative,exception
146,"Seating is always prompt , though the restaurant does fill up in the evening .",Seating,explicit,SERVICE GENERAL,positive,prompt
147,Service is top notch .,Service,explicit,SERVICE GENERAL,positive,top notch
148,The entertainment was great they have shows that go on through out the dinner .,entertainment,explicit,AMBIENCE GENERAL,positive,great
149,Highly recommended to all !,NULL,implicit,RESTAURANT GENERAL,positive,recommended
150,If you like spicy food get the chicken vindaloo .,chicken vindaloo,explicit,FOOD QUALITY,positive,get
151,Food was good not great not worth the wait or another visit,Food,explicit,FOOD QUALITY,neutral,good not great not worth the wait or another visit
152,"Yes , the prices are high , but I felt it was worth it .",NULL,implicit,RESTAURANT PRICES,negative,high
153,"Yes , the prices are high , but I felt it was worth it .",NULL,implicit,RESTAURANT GENERAL,positive,worth
154,I thought this place was totally overrated .,place,explicit,RESTAURANT GENERAL,negative,overrated
155,Have frequented 'ino for several years and the food remains excellent .,food,explicit,FOOD QUALITY,positive,excellent
156,"Cute place , nice wait staff but would never go there again .",wait staff,explicit,SERVICE GENERAL,positive,nice
157,"Cute place , nice wait staff but would never go there again .",place,explicit,AMBIENCE GENERAL,positive,Cute
158,"Cute place , nice wait staff but would never go there again .",place,explicit,RESTAURANT GENERAL,negative,never go
159,"We have been to this place many times , and always have great food , wine , and service .",food,explicit,FOOD QUALITY,positive,great
160,"We have been to this place many times , and always have great food , wine , and service .",wine,explicit,DRINKS QUALITY,positive,great
161,"We have been to this place many times , and always have great food , wine , and service .",service,explicit,SERVICE GENERAL,positive,great
162,You can not go wrong with this place .,place,explicit,RESTAURANT GENERAL,positive,wrong
163,"Please take my advice , go and try this place .",place,explicit,RESTAURANT GENERAL,positive,go and try
164,This place is so much fun .,place,explicit,AMBIENCE GENERAL,positive,fun
165,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .,Grilled Chicken special with Edamame Puree,explicit,FOOD QUALITY,positive,enjoyed
166,"To sum it up : Service varies from good to mediorce , depending on which waiter you get ; generally it is just average Ok .",Service,explicit,SERVICE GENERAL,neutral,varies
167,Love Pizza 33 ...,Pizza 33,explicit,RESTAURANT GENERAL,positive,Love
168,The food was bland oily .,food,explicit,FOOD QUALITY,negative,bland oily
169,The food was lousy - too sweet or too salty and the portions tiny .,food,explicit,FOOD QUALITY,negative,lousy
170,The food was lousy - too sweet or too salty and the portions tiny .,food,explicit,FOOD QUALITY,negative,too sweet
171,The food was lousy - too sweet or too salty and the portions tiny .,food,explicit,FOOD QUALITY,negative,too salty
172,The food was lousy - too sweet or too salty and the portions tiny .,portions,explicit,FOOD STYLE_OPTIONS,negative,tiny
173,"Two complaints -- their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu .",appetizer selection,explicit,FOOD STYLE_OPTIONS,negative,complaints
174,We could have made a meal of the yummy dumplings from the dumpling menu .,dumplings,explicit,FOOD QUALITY,positive,yummy
175,Hurley 's is like Cheers where everyone knows your name and they are ACTUALLY glad you came .,Hurley 's,explicit,SERVICE GENERAL,positive,glad
176,"My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",staff,explicit,SERVICE GENERAL,positive,enjoy
177,"My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",staff,explicit,SERVICE GENERAL,positive,young
178,"My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",staff,explicit,SERVICE GENERAL,positive,not always well trained
179,"My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",staff,explicit,SERVICE GENERAL,positive,friendly
180,You ca n't go wrong with this place .,place,explicit,RESTAURANT GENERAL,positive,ca n't go wrong
181,Personal pans are the perfect size for those hungry nights .,Personal pans,explicit,FOOD STYLE_OPTIONS,positive,perfect
182,"Do not get the Go Go Hamburgers , no matter what the reviews say .",Go Go Hamburgers,explicit,FOOD QUALITY,negative,Do not get
183,I would definitely recommend SEA if you like thai cuisine !,thai cuisine,explicit,FOOD QUALITY,positive,like
184,"Also , the sandwiches ( nearing $ 7 ) did n't come with anything like chips or a side .",sandwiches,explicit,FOOD STYLE_OPTIONS,negative,did n't come with
185,"Also , the sandwiches ( nearing $ 7 ) did n't come with anything like chips or a side .",sandwiches,explicit,FOOD PRICES,negative,nearing $ 7 
186,"Ambience is delightful , service impeccable .",Ambience,explicit,AMBIENCE GENERAL,positive,delightful
187,"Ambience is delightful , service impeccable .",service,explicit,SERVICE GENERAL,positive,impeccable
188,"For the people who want great food plus great service , Roxy is a place to AVOID !",food,explicit,FOOD QUALITY,negative,great
189,"For the people who want great food plus great service , Roxy is a place to AVOID !",service,explicit,SERVICE GENERAL,negative,great
190,The pizza was great .,pizza,explicit,FOOD QUALITY,positive,great
191,My son and his girlfriend both wanted cheeseburgers and they were huge !,cheeseburgers,explicit,FOOD STYLE_OPTIONS,neutral,huge
192,The counter service is bad .,counter service,explicit,SERVICE GENERAL,negative,bad
193,Atmosphere is nice and relaxed too ...,Atmosphere,explicit,AMBIENCE GENERAL,positive,nice
194,Atmosphere is nice and relaxed too ...,Atmosphere,explicit,AMBIENCE GENERAL,positive,relaxed
195,The food was well prepared and the service impecable .,food,explicit,FOOD QUALITY,positive,well prepared
196,The food was well prepared and the service impecable .,service,explicit,SERVICE GENERAL,positive,impecable
197,One of us actually liked the expresso - that 's it .,expresso,explicit,DRINKS QUALITY,positive,liked
198,"In an area sadly lacking in decent Thai food , this is one of the best spots .",Thai food,explicit,FOOD QUALITY,positive,decent
199,We had a good time .,NULL,implicit,RESTAURANT GENERAL,positive,good time
200,"Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food !",neighborhood,explicit,LOCATION GENERAL,positive,great
201,"Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food !",food,explicit,FOOD QUALITY,positive,great
202,"THe back garden sitting area is very pleasant , where you can see their personal herb garden .",back garden sitting area,explicit,AMBIENCE GENERAL,positive,pleasant
203,"Also , because it is so thin , it gets cold very quickly and its not that filling .",NULL,implicit,FOOD QUALITY,negative,gets cold very quickly
204,"Also , because it is so thin , it gets cold very quickly and its not that filling .",NULL,implicit,FOOD STYLE_OPTIONS,negative,not that filling
205,Food is great and inexpensive .,Food,explicit,FOOD QUALITY,positive,great
206,Food is great and inexpensive .,Food,explicit,FOOD PRICES,positive,inexpensive
207,First of all Dal Bukhara Rocks .,Dal Bukhara,explicit,FOOD QUALITY,positive,Rocks
208,Decor is nice though service can be spotty .,Decor,explicit,AMBIENCE GENERAL,positive,nice
209,Decor is nice though service can be spotty .,service,explicit,SERVICE GENERAL,negative,spotty
210,The location and ambience is Ok but the food is what makes up for it .,location,explicit,LOCATION GENERAL,neutral,Ok
211,The location and ambience is Ok but the food is what makes up for it .,ambience,explicit,AMBIENCE GENERAL,neutral,Ok
212,The location and ambience is Ok but the food is what makes up for it .,food,explicit,FOOD QUALITY,positive,makes up for it
213,I go and eat out at many different restaurants and this is one place you have go and try .,place,explicit,RESTAURANT GENERAL,positive,have go and try
214,Food awesome .,Food,explicit,FOOD QUALITY,positive,awesome
215,HIGHLY RECOMMENDED ! ! ! ! !,NULL,implicit,RESTAURANT GENERAL,positive,RECOMMENDED
216,"good music , great food , speedy service affordable prices .",music,explicit,AMBIENCE GENERAL,positive,good
217,"good music , great food , speedy service affordable prices .",food,explicit,FOOD QUALITY,positive,great
218,"good music , great food , speedy service affordable prices .",service,explicit,SERVICE GENERAL,positive,speedy
219,"good music , great food , speedy service affordable prices .",NULL,implicit,RESTAURANT PRICES,positive,affordable
220,Loved it !,NULL,implicit,RESTAURANT GENERAL,positive,Loved
221,"The pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's .",pizza,explicit,FOOD QUALITY,positive,delicious
222,"The pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's .",fresh mozzarella,explicit,FOOD QUALITY,positive,fresh
223,The characters really make for an enjoyable experience .,characters,explicit,AMBIENCE GENERAL,positive,enjoyable
224,I 've never had bad service and the fish is fresh and delicious .,service,explicit,SERVICE GENERAL,positive,never had bad
225,I 've never had bad service and the fish is fresh and delicious .,fish,explicit,FOOD QUALITY,positive,fresh
226,I 've never had bad service and the fish is fresh and delicious .,fish,explicit,FOOD QUALITY,positive,delicious
227,Ambiance relaxed and stylish .,Ambiance,explicit,AMBIENCE GENERAL,positive,relaxed
228,Ambiance relaxed and stylish .,Ambiance,explicit,AMBIENCE GENERAL,positive,stylish
229,"Moules were excellent , lobster ravioli was VERY salty !",Moules,explicit,FOOD QUALITY,positive,excellent
230,"Moules were excellent , lobster ravioli was VERY salty !",lobster ravioli,explicit,FOOD QUALITY,negative,salty
231,I wo n't go back unless someone else is footing the bill .,NULL,implicit,RESTAURANT PRICES,negative,wo n't go back
232,first it took us a long time to find the place .,place,explicit,RESTAURANT MISCELLANEOUS,negative,took us a long time
233,They refuse to seat parties of 3 or more on weekends .,NULL,implicit,SERVICE GENERAL,negative,refuse
234,"great for a romantic evening , or a fun evening with friends ...",NULL,implicit,AMBIENCE GENERAL,positive,romantic
235,"great for a romantic evening , or a fun evening with friends ...",NULL,implicit,RESTAURANT MISCELLANEOUS,positive,fun
236,"All in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .",NULL,implicit,RESTAURANT GENERAL,positive,favorite
237,They were served warm and had a soft fluffy interior .,NULL,implicit,FOOD QUALITY,positive,warm
238,They were served warm and had a soft fluffy interior .,NULL,implicit,FOOD QUALITY,positive,a soft fluffy interior
239,"Both times I was extremely dissappointed by the service , which was boarderline rude .",service,explicit,SERVICE GENERAL,negative,dissappointed
240,"Both times I was extremely dissappointed by the service , which was boarderline rude .",service,explicit,SERVICE GENERAL,negative,rude
241,"Despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art .",menu,explicit,FOOD STYLE_OPTIONS,negative,limited
242,"Despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art .",NULL,implicit,FOOD QUALITY,positive,ultra fresh
243,"Despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art .",NULL,implicit,FOOD STYLE_OPTIONS,positive,a work of food art
244,Service was also horrible and the ambience is not that great .,Service,explicit,SERVICE GENERAL,negative,horrible
245,Service was also horrible and the ambience is not that great .,ambience,explicit,AMBIENCE GENERAL,negative,not that great
246,"Excellent dumplings served amid clean , chic decor .",dumplings,explicit,FOOD QUALITY,positive,Excellent
247,"Excellent dumplings served amid clean , chic decor .",decor,explicit,AMBIENCE GENERAL,positive,clean
248,"Excellent dumplings served amid clean , chic decor .",decor,explicit,AMBIENCE GENERAL,positive,chic
249,I absolutely love this place ! ! !,place,explicit,RESTAURANT GENERAL,positive,love
250,"As a retired hipster , I can say with some degree of certainty that for the last year Lucky Strike has been the best laid-back late night in the city .",Lucky Strike,explicit,RESTAURANT GENERAL,positive,best
251,"The food is wonderful , tasty and filling , and the service is professional and friendly .",food,explicit,FOOD QUALITY,positive,wonderful
252,"The food is wonderful , tasty and filling , and the service is professional and friendly .",food,explicit,FOOD QUALITY,positive,tasty
253,"The food is wonderful , tasty and filling , and the service is professional and friendly .",food,explicit,FOOD STYLE_OPTIONS,positive,filling
254,"The food is wonderful , tasty and filling , and the service is professional and friendly .",service,explicit,SERVICE GENERAL,positive,professional
255,"The food is wonderful , tasty and filling , and the service is professional and friendly .",service,explicit,SERVICE GENERAL,positive,friendly
256,"The service was terrible , we had to wait for everything and ask several of different people for the same thing before we were allowed to be served .",service,explicit,SERVICE GENERAL,negative,terrible
257,My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque .,New England Chowder,explicit,FOOD QUALITY,positive,good
