As_true	As_pre	sentence	true_ner	predict_ner
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] you ca nt go wrong here. [SEP]	O O B-NULL I-NULL I-NULL I-NULL O O O	O O B-NULL I-NULL I-NULL I-NULL O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] i think i have probably tried each item on their menu at least once it is all excellent. [SEP]	O O O O O O O O O O O B-EO O O O O O O O O O	O O O O O O O O O O O B-EO O O O O O O B-NULL O O
FOOD#STYLE_OPTIONS#POSITIVE	FOOD#STYLE_OPTIONS#POSITIVE	[CLS] – the pepperoni s cut real thick - - yum. [SEP]	O O O B-EO I-EO O O O O O O O O	O O O B-EO I-EO O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] green tea creme brulee gets better each time i have it. [SEP]	O B-EO I-EO I-EO I-EO O O O O O O O O O	O B-EO I-EO I-EO I-EO O O O O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] not too fine thought that you feel uncomfortable and have to dress up. [SEP]	O O O B-NULL O O O O O O O O O O O O	O O O B-NULL O O O O O O O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] atmosphere was nice. [SEP]	O B-EO O O O O	O B-EO O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] absolutely fabulous!!! [SEP]	O O B-NULL O O O O	O O B-NULL O O O O
RESTAURANT#GENERAL#NEGATIVE	RESTAURANT#GENERAL#NEGATIVE	[CLS] avoid the place [SEP]	O O O B-EO O	O O O B-EO O
FOOD#QUALITY#NEGATIVE	FOOD#QUALITY#NEGATIVE	[CLS] to be honest, i ve had better frozen pizza. [SEP]	O O O O O O O O O O B-EO O O	O O O O O O O O O B-EO I-EO O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] the service was exceptional - sometime there was a feeling that we were served by the army of friendly waiters. [SEP]	O O B-EO O O O O O O O O O O O O O O O O O O O O	O O B-EO O O O O O O O O O O O O O O O O O O O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] the service was exceptional - sometime there was a feeling that we were served by the army of friendly waiters. [SEP]	O O O O O O O O O O O O O O O O O O O O B-EO O O	O O O O O O O O O O O O O O O O O O O O B-EO O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] and they packaged everything nicely so it did nt spill. [SEP]	O O O O O B-NULL O O O O O O O	O O O B-NULL O B-NULL O O O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] very good! [SEP]	O O B-NULL O O	O O B-NULL O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the food is sinful. [SEP]	O O B-EO O O O O	O O B-EO O O O O
DRINKS#PRICES#NEGATIVE	DRINKS#PRICES#NEGATIVE	[CLS] to start off, approximately 8 - 10 oz of orange juice will cost you $ 3. [SEP]	O O O O O O O O O O O B-EO I-EO O O O O O O O	O O O O O O O O O O O I-EO I-EO O O O O O O O
DRINKS#STYLE_OPTIONS#POSITIVE	DRINKS#STYLE_OPTIONS#POSITIVE	[CLS] good sake selection. [SEP]	O O B-EO I-EO O O	O O B-EO I-EO O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] while i could have done without the youth who shared the evening with us, our wonderful server and food made the experience a very positive one. [SEP]	O O O O O O O O O O O O O O O O O O B-EO O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O B-EO O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] while i could have done without the youth who shared the evening with us, our wonderful server and food made the experience a very positive one. [SEP]	O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O O O
RESTAURANT#MISCELLANEOUS#POSITIVE	RESTAURANT#MISCELLANEOUS#POSITIVE	[CLS] while i could have done without the youth who shared the evening with us, our wonderful server and food made the experience a very positive one. [SEP]	O O O O O O O O O O O O O O O O O O O O O O O O O O B-NULL O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O B-NULL O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] what a find! [SEP]	O B-NULL I-NULL I-NULL O O	O B-NULL O B-NULL O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] – mioposto has a very creative & delicious pizza menu. [SEP]	O O O O O O O O O B-EO I-EO O O	O O O O O O O O O B-EO I-EO O O
FOOD#STYLE_OPTIONS#POSITIVE	FOOD#STYLE_OPTIONS#POSITIVE	[CLS] – mioposto has a very creative & delicious pizza menu. [SEP]	O O O O O O O O O B-EO I-EO O O	O O O O O O O O O B-EO I-EO O O
SERVICE#GENERAL#NEGATIVE	SERVICE#GENERAL#NEGATIVE	[CLS] on a recent trip, our waiter was extremely dismissive, while no less than three staff members waited hand - and - foot on a pair of japanese girls seated nearby. [SEP]	O O O O O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] i would normally not finish the brocolli when i order these kinds of food but for the first time, every piece was as eventful as the first one... the scallops and prawns was so fresh and nicely cooked. [SEP]	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O I-EO O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] i would normally not finish the brocolli when i order these kinds of food but for the first time, every piece was as eventful as the first one... the scallops and prawns was so fresh and nicely cooked. [SEP]	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I-EO O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] i would normally not finish the brocolli when i order these kinds of food but for the first time, every piece was as eventful as the first one... the scallops and prawns was so fresh and nicely cooked. [SEP]	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O I-EO O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] i would normally not finish the brocolli when i order these kinds of food but for the first time, every piece was as eventful as the first one... the scallops and prawns was so fresh and nicely cooked. [SEP]	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O I-EO O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] i would normally not finish the brocolli when i order these kinds of food but for the first time, every piece was as eventful as the first one... the scallops and prawns was so fresh and nicely cooked. [SEP]	O O O O O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
FOOD#PRICES#NEUTRAL	FOOD#PRICES#NEUTRAL	[CLS] it is nt the cheapest sushi but has been worth it every time. [SEP]	O O O O O O B-EO O O O O O O O O O	O O O O O B-NULL B-EO O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] it is nt the cheapest sushi but has been worth it every time. [SEP]	O O O O O O B-EO O O O O O O O O O	O O O O O O B-EO O O O B-NULL O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] you never feel icky and stuffed after you eat there. [SEP]	O O B-NULL I-NULL I-NULL I-NULL I-NULL O O O O O O	O O O O I-NULL O I-NULL O O O O O O
SERVICE#GENERAL#NEGATIVE	SERVICE#GENERAL#NEGATIVE	[CLS] as part of a small party of four, our food was dropped off without comment ; [SEP]	O O O O O O O O O O O O O B-NULL I-NULL I-NULL I-NULL O O	O O O O O O O O O O O O O B-NULL I-NULL I-NULL I-NULL O O
RESTAURANT#GENERAL#NEGATIVE	RESTAURANT#GENERAL#NEGATIVE	[CLS] i hope one day scooner or later returns to what it once was. [SEP]	O O O O O B-EO I-EO I-EO O O O O O O O O	O O O O O B-EO O O O O I-NULL I-NULL O O O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] first off, the food came fast and all together : ) i like that... i hate the pretentiousness of things coming in one after the other. [SEP]	O O O O O O O O O O O O O O B-NULL O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O B-NULL O O O O O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the food was great! [SEP]	O O B-EO O O O O	O O B-EO O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] if there is a line very day of the week for the entire time a place is open, you know it is great. [SEP]	O O O O O O O O O O O O O O O O B-EO O O O O O O O O O O	O O O O O O O O O O O O O O O O B-EO O O O O O O O O O O
RESTAURANT#PRICES#POSITIVE	RESTAURANT#PRICES#POSITIVE	[CLS] the most pleasant surprise was the check that did not exceed my expectations as it always happens in most of the places. [SEP]	O O O B-NULL O O O O O O O O O O O O O O O O O O O O O	O O O B-NULL O O O O O O O O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] at best, the food was good and definately overpriced. [SEP]	O O O O O B-EO O O O O O O O	O O O O O B-EO O O O O O O O
FOOD#PRICES#NEGATIVE	FOOD#PRICES#NEGATIVE	[CLS] at best, the food was good and definately overpriced. [SEP]	O O O O O B-EO O O O O O O O	O O O O O B-EO O O O O O O O
FOOD#STYLE_OPTIONS#NEUTRAL	FOOD#STYLE_OPTIONS#NEUTRAL	[CLS] the outside patio area has an abbreviated menu. [SEP]	O O O O O O O O B-EO O O	O O O O O O O O B-EO O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] best indian food in l. a. [SEP]	O O B-EO I-EO O O O O O O	O O B-EO I-EO O O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] cut to the chase - this is amazing! [SEP]	O O O O O O O O B-NULL O O	O O O O O O O O B-NULL O O
FOOD#QUALITY#NEGATIVE	FOOD#QUALITY#NEGATIVE	[CLS] the food is not what it once was ( potions have seriously seen downsizing ) prices have gone up, and the service is the worst i have experienced anywhere ( including mainland europe ). [SEP]	O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
FOOD#STYLE_OPTIONS#NEGATIVE	FOOD#STYLE_OPTIONS#NEGATIVE	[CLS] the food is not what it once was ( potions have seriously seen downsizing ) prices have gone up, and the service is the worst i have experienced anywhere ( including mainland europe ). [SEP]	O O O O O O O O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
SERVICE#GENERAL#NEGATIVE	SERVICE#GENERAL#NEGATIVE	[CLS] the food is not what it once was ( potions have seriously seen downsizing ) prices have gone up, and the service is the worst i have experienced anywhere ( including mainland europe ). [SEP]	O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O O O O O O O O
FOOD#PRICES#NEGATIVE	FOOD#PRICES#NEGATIVE	[CLS] the food is not what it once was ( potions have seriously seen downsizing ) prices have gone up, and the service is the worst i have experienced anywhere ( including mainland europe ). [SEP]	O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] lebanese food! yum! [SEP]	O B-EO I-EO O O O O	O B-EO I-EO O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the brocollis were so fresh and tasty. [SEP]	O O B-EO O O O O O O O	O O B-EO O O O O O O O
FOOD#STYLE_OPTIONS#POSITIVE	FOOD#STYLE_OPTIONS#POSITIVE	[CLS] and they give good quantity for the price. [SEP]	O O O O B-NULL I-NULL O O O O O	O O O O B-NULL I-NULL O O O O O
RESTAURANT#GENERAL#NEGATIVE	RESTAURANT#GENERAL#NEGATIVE	[CLS] very disappointing [SEP]	O O B-NULL O	O O B-NULL O
DRINKS#STYLE_OPTIONS#POSITIVE	DRINKS#STYLE_OPTIONS#POSITIVE	[CLS] seattle s best winelist [SEP]	O O O O B-EO O	O O O O B-EO O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] – i ca nt say enough about this place. [SEP]	O O O O O O O O O B-EO O O	O O O O O O O O O B-EO O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] – i have been eating at this place for over 8 years now and i have never had one bad meal. [SEP]	O O O O O O O O O O O O O O O O O O O O O B-EO O O	O O O O O O O O O O O O O O O O O O O O O B-EO O O
RESTAURANT#MISCELLANEOUS#NEGATIVE	RESTAURANT#MISCELLANEOUS#NEGATIVE	[CLS] i went home & looked them up online again where i discovered there is a link for a give away that doesn t work so emailed the restaurant about the non existent service & deceptive link. [SEP]	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O O O O
RESTAURANT#MISCELLANEOUS#NEGATIVE	RESTAURANT#MISCELLANEOUS#NEGATIVE	[CLS] i went home & looked them up online again where i discovered there is a link for a give away that doesn t work so emailed the restaurant about the non existent service & deceptive link. [SEP]	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O O O O
FOOD#PRICES#NEGATIVE	FOOD#PRICES#NEGATIVE	[CLS] fancy pieces of exotic fish on a $ 100 dollar plate and not one was eatable. [SEP]	O O O O O O O O O O O B-EO O O O O O O O	O O O O B-EO I-EO O O O O O O O O O O O O O
FOOD#QUALITY#NEGATIVE	FOOD#QUALITY#NEGATIVE	[CLS] fancy pieces of exotic fish on a $ 100 dollar plate and not one was eatable. [SEP]	O O O O B-EO I-EO O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O B-NULL O O
FOOD#STYLE_OPTIONS#NEGATIVE	FOOD#STYLE_OPTIONS#NEGATIVE	[CLS] fancy pieces of exotic fish on a $ 100 dollar plate and not one was eatable. [SEP]	O O O O B-EO I-EO O O O O O O O O O O O O O	O O O O B-EO I-EO O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] i had yummy lamb korma, saag paneer, samosas, naan, etc. [SEP]	O O O O B-EO I-EO O O O O O O O O O O O	O O O O B-EO I-EO O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] i had yummy lamb korma, saag paneer, samosas, naan, etc. [SEP]	O O O O O O O B-EO I-EO O O O O O O O O	O O O O B-EO I-EO O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] i had yummy lamb korma, saag paneer, samosas, naan, etc. [SEP]	O O O O O O O O O O B-EO O O O O O O	O O O O O I-EO O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] i had yummy lamb korma, saag paneer, samosas, naan, etc. [SEP]	O O O O O O O O O O O O B-EO O O O O	O O O O B-EO I-EO O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] serves really good sushi. [SEP]	O O O O B-EO O O	O O O O B-EO O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] as usual the omikase did nt disappoint in freshness, although it scored low on creativity and selection. [SEP]	O O O O B-EO O O O O O O O O O O O O O O O O	O O O O B-EO O O O O O O O O O O O O O O O O
FOOD#STYLE_OPTIONS#NEGATIVE	FOOD#STYLE_OPTIONS#NEGATIVE	[CLS] as usual the omikase did nt disappoint in freshness, although it scored low on creativity and selection. [SEP]	O O O O B-EO O O O O O O O O O O O O O O O O	O O O O B-EO O O O O O O O O O O O O O O O O
FOOD#QUALITY#NEGATIVE	FOOD#QUALITY#NEGATIVE	[CLS] rice is too dry, tuna was nt so fresh either. [SEP]	O B-EO O O O O O O O O O O O O	O B-EO O O O O O O O O O O O O
FOOD#QUALITY#NEGATIVE	FOOD#QUALITY#NEGATIVE	[CLS] rice is too dry, tuna was nt so fresh either. [SEP]	O O O O O O B-EO O O O O O O O	O O O O O O B-EO O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] their crab eggs benedict is addicting. [SEP]	O O B-EO I-EO I-EO O O O O	O O B-EO I-EO I-EO O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] save room for scrumptious desserts. [SEP]	O O O O O B-EO O O	O O O O O B-EO O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] our server was very professional and friendly. [SEP]	O O B-EO O O O O O O O	O O B-EO O O O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] i went here on a recommendation and will surely return time and time again. [SEP]	O O O O O O B-NULL O O O O O O O O O O	O O O O B-NULL I-NULL I-NULL O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the food was all good but it was way too mild. [SEP]	O O B-EO O O O O O O O O O O O	O O B-EO O O O O O O O O O O O
FOOD#QUALITY#NEGATIVE	FOOD#QUALITY#NEGATIVE	[CLS] the food was all good but it was way too mild. [SEP]	O O B-EO O O O O O O O O O O O	O O B-EO O O O O O O O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] – my husband and i love eating at mioposto cafe. [SEP]	O O O O O O O O O B-EO I-EO O O	O O O O O O O O O B-EO I-EO O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] – this was great dining experience. [SEP]	O O O O B-NULL O O O O	O O O O B-NULL O O O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] the staff was really friendly. [SEP]	O O B-EO O O O O O	O O B-EO O O O O O
RESTAURANT#PRICES#NEGATIVE	RESTAURANT#PRICES#NEGATIVE	[CLS] we easily spent more than $ 40 per person ( not including alcohol ) and were still hungry. [SEP]	O O O O B-NULL I-NULL I-NULL I-NULL O O O O O O O O O O O O O	O O O O B-NULL I-NULL O I-NULL O O O O O O O O O O O O O
FOOD#STYLE_OPTIONS#NEGATIVE	FOOD#STYLE_OPTIONS#NEGATIVE	[CLS] we easily spent more than $ 40 per person ( not including alcohol ) and were still hungry. [SEP]	O O O O O O O O O O O O O O O O O O B-NULL O O	O O O O O O O O O O O O O O O O O O B-NULL O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] this is right up there with places in tokyo as far as the freshness is concerned. [SEP]	O O O O O O O O O O O O O O B-NULL O O O O	O O O O O O O O O O O O O O I-NULL O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] groovy music made the dinner casual. [SEP]	O O B-EO O O O O O O	O O B-EO O O O O O O
SERVICE#GENERAL#NEGATIVE	SERVICE#GENERAL#NEGATIVE	[CLS] after one member of our party had been bumped repeatedly by a waitress, a polite request that he not be bumped sent the waitress into an abusive rant. [SEP]	O O O O O O O O O O O O O B-EO O O O O O O O O O O O B-EO O O O O O O	O O O O O O O O O O O O O B-EO O O O O O O O O O O O B-EO O O O O O O
DRINKS#STYLE_OPTIONS#POSITIVE	DRINKS#STYLE_OPTIONS#POSITIVE	[CLS] – ray s ( suprisingly ) has the city s best & most diverse wine list. [SEP]	O O O O O O O O O O O O O O O B-EO I-EO O O	O O I-EO I-EO O O O O O O O O O O O B-EO I-EO O O
RESTAURANT#GENERAL#NEGATIVE	RESTAURANT#GENERAL#NEGATIVE	[CLS] i probably wouldn t go back though cuz i do nt know if it s worth it. [SEP]	O O O B-NULL O B-NULL I-NULL O O O O O O O O O O O O O	O O O B-NULL O B-NULL I-NULL O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the chips and salsa are so yummy, and the prices are fabulous. [SEP]	O O B-EO I-EO I-EO O O O O B-EO O O O O O O	O O B-EO O O O O O O O O O O O O O
RESTAURANT#PRICES#POSITIVE	RESTAURANT#PRICES#POSITIVE	[CLS] the chips and salsa are so yummy, and the prices are fabulous. [SEP]	O O O O O O O O O O O O O B-NULL O O	O O O O O O O O O O O O O B-NULL O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] the sommelier is fantastic, down - to - earth, & extremely knowlegable. [SEP]	O O B-EO O O O O O O O O O O O O O O	O O B-EO O O O O O O O O O O O O O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] the sommelier is fantastic, down - to - earth, & extremely knowlegable. [SEP]	O O B-EO O O O O O O O O O O O O O O	O O B-EO O O O O O O O O O O O O O O
FOOD#STYLE_OPTIONS#POSITIVE	FOOD#STYLE_OPTIONS#POSITIVE	[CLS] big thick pepperoni [SEP]	O O O B-EO O	O O B-EO I-EO O
RESTAURANT#GENERAL#NEGATIVE	RESTAURANT#GENERAL#NEGATIVE	[CLS] it is not worth going at all and spend your money there!!! [SEP]	O O O B-NULL I-NULL O O O O O O O O O O O O	O O O B-NULL I-NULL O O O O O O O O O O O O
RESTAURANT#PRICES#NEGATIVE	RESTAURANT#PRICES#NEGATIVE	[CLS] insultingly overpriced [SEP]	O O B-NULL O	O O B-NULL O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] indoor ambience was modern. [SEP]	O B-EO I-EO O O O O	O B-EO I-EO O O O O
RESTAURANT#GENERAL#NEGATIVE	RESTAURANT#GENERAL#NEGATIVE	[CLS] donot go! [SEP]	O B-NULL I-NULL O O	O B-NULL B-NULL O O
RESTAURANT#GENERAL#NEGATIVE	RESTAURANT#GENERAL#NEGATIVE	[CLS] untill this happens, my advice is to stay away. [SEP]	O O O O O O O O O B-NULL I-NULL O O	O O O O O O O O O B-NULL I-NULL O O
SERVICE#GENERAL#NEGATIVE	SERVICE#GENERAL#NEGATIVE	[CLS] oh i forgot to mention that they do nt have bread service. [SEP]	O O O O O O O O B-NULL I-NULL I-NULL I-NULL I-NULL O O	O O O O O O O O O O O O B-EO O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] they are not greasy or anything. [SEP]	O O O B-NULL I-NULL O O O O	O O O B-NULL I-NULL O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] the music is great, no night better or worse, the bar tenders are generous with the pouring, and the lighthearted atmosphere will lifts you spirits. [SEP]	O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O
DRINKS#STYLE_OPTIONS#POSITIVE	DRINKS#STYLE_OPTIONS#POSITIVE	[CLS] the music is great, no night better or worse, the bar tenders are generous with the pouring, and the lighthearted atmosphere will lifts you spirits. [SEP]	O O O O O O O O O O O O O B-EO I-EO O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O B-EO I-EO O O O O O O O O O O O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] the music is great, no night better or worse, the bar tenders are generous with the pouring, and the lighthearted atmosphere will lifts you spirits. [SEP]	O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] nice ambience, but highly overrated place. [SEP]	O O B-EO O O O O O O O	O O B-EO O O O O O O O
RESTAURANT#GENERAL#NEGATIVE	RESTAURANT#GENERAL#NEGATIVE	[CLS] nice ambience, but highly overrated place. [SEP]	O O O O O O O B-EO O O	O O O O O O O B-EO O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the sushi here is delicious! [SEP]	O O B-EO O O O O O	O O B-EO O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] – i am exceedingly pleased to report that my dinner at ray s boathouse last friday completely exceeded my expectations. [SEP]	O O O O O O O O O O O O B-EO I-EO I-EO O O O O O O O O	O O O O O O O O O O O O B-EO I-EO O O O O O O O O O
